id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
VI-01,Feuang,Feuang,feuang-vi-01,VI-01,46,18.589,102.059
VI-02,Hinherb,Hinherb,hinherb-vi-02,VI-02,52,18.61,102.194
VI-03,Kasy,Kasy,kasy-vi-03,VI-03,83,19.113,102.146
VI-04,Keo Oudom,Keo Oudom,keo-oudom-vi-04,VI-04,44,18.599,102.503
VI-05,Mad,Mad,mad-vi-05,VI-05,55,18.698,101.829
VI-06,Meun,Meun,meun-vi-06,VI-06,9,18.276,101.935
VI-07,Phonhong,Phonhong,phonhong-vi-07,VI-07,100,18.42,102.429
VI-08,Thoulakhom,Thoulakhom,thoulakhom-vi-08,VI-08,65,18.293,102.616
VI-09,Vangvieng,Vangvieng,vangvieng-vi-09,VI-09,99,18.949,102.424
VI-10,Viengkham,Viengkham,viengkham-vi-10,VI-10,0,18.371,102.518
VI-11,Xanakharm,Xanakharm,xanakharm-vi-11,VI-11,44,18.059,101.544
