id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
BL-01,Bolikhanh,Bolikhanh,bolikhanh-bl-01,BL-01,41,18.656,103.824
BL-02,Khamkeuth,Khamkeuth,khamkeuth-bl-02,BL-02,138,18.188,104.952
BL-03,Pakkading,Pakkading,pakkading-bl-03,BL-03,55,18.398,104.112
BL-04,Pakxane,Pakxane,pakxane-bl-04,BL-04,73,18.451,103.742
BL-05,Thaphabath,Thaphabath,thaphabath-bl-05,BL-05,35,18.38,103.109
BL-06,Viengthong,Viengthong,viengthong-bl-06,BL-06,94,18.817,104.389
BL-07,Xaychamphone,Xaychamphone,xaychamphone-bl-07,BL-07,51,18.583,104.92
