id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
XI-01,Huameuang,Huameuang,huameuang-xi-01,XI-01,137,19.935,103.862
XI-02,Kham,Kham,kham-xi-02,XI-02,155,19.888,103.704
XI-03,Khoune,Khoune,khoune-xi-03,XI-03,174,19.196,103.534
XI-04,Mork,Mork,mork-xi-04,XI-04,87,19.089,104.08
XI-05,Nonghed,Nonghed,nonghed-xi-05,XI-05,173,19.579,104.045
XI-06,Pek,Pek,pek-xi-06,XI-06,270,19.627,103.256
XI-07,Phaxay,Phaxay,phaxay-xi-07,XI-07,83,19.192,103.113
XI-08,Phookood,Phookood,phookood-xi-08,XI-08,184,19.693,103.008
XI-09,Phoukhoune,Phoukhoune,phoukhoune-xi-09,XI-09,121,19.525,102.694
