id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
PH-01,ມ. ບຸນເໜືອ,Boon Neua,boon-neua-ph-01,PH-01,60,21.657,101.793
PH-02,ມ. ບຸນໃຕ້,Boontay,boontay-ph-02,PH-02,85,21.376,101.907
PH-03,ມ. ຂວາ,Khua,khua-ph-03,PH-03,178,21.048,102.473
PH-04,ມ. ໃໝ່,May,may-ph-04,PH-04,149,21.48,102.865
PH-05,ມ. ຍອດອູ,Nhot Ou,nhot-ou-ph-05,PH-05,122,22.235,101.816
PH-06,ມ. ຜົ້ງສາລີ,Phongsaly,phongsaly-ph-06,PH-06,112,21.866,102.201
PH-07,ມ. ສຳພັນ,Samphanh,samphanh-ph-07,PH-07,88,21.79,102.522
