id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
SL-01,Khongxedone,Khongxedone,khongxedone-sl-01,SL-01,95,15.557,105.743
SL-02,Lakhonepheng,Lakhonepheng,lakhonepheng-sl-02,SL-02,73,15.853,105.622
SL-03,Lao Ngarm,Lao Ngarm,lao-ngarm-sl-03,SL-03,111,15.496,106.182
SL-04,Samuoi,Samuoi,samuoi-sl-04,SL-04,80,16.395,106.894
SL-05,Saravane,Saravane,saravane-sl-05,SL-05,154,15.621,106.381
SL-06,Ta Oi,Ta Oi,ta-oi-sl-06,SL-06,137,16.149,106.796
SL-07,Toomlarn,Toomlarn,toomlarn-sl-07,SL-07,69,16.047,106.21
SL-08,Vapy,Vapy,vapy-sl-08,SL-08,57,15.773,105.952
